id;reference;etat;montant_total;date_creation;date_modification
1;Persevering invoice;alarm Toys up;82443;2024-05-16;2024-05-15
2;Account a Buckinghamshire;cross-platform Metal;31853;2024-05-15;2024-05-16
3;throughput Executif Sharable;c PCI a;45001;2024-05-15;2024-05-16
4;indigo Rhône-Alpes;quantifying parsing;24056;2024-05-15;2024-05-15
5;Books;Unbranded;21503;2024-05-15;2024-05-15
6;Czech green Île-de-France;Granite;92749;2024-05-15;2024-05-16
7;Solomon withdrawal;Account Granite;52143;2024-05-15;2024-05-15
8;Botswana Gloves;mindshare;47913;2024-05-15;2024-05-16
9;connect;Gloves c;7371;2024-05-16;2024-05-16
10;portals parse;synthesize;5044;2024-05-16;2024-05-16
