id;code;reference;montant_total;date_creation;date_modification
1;invoice Tanzanian;Fantastic a;53092;2024-05-15;2024-05-16
2;hacking b;Salvador Corse Chicken;94108;2024-05-16;2024-05-15
3;transmit Chicken;optimize;75807;2024-05-16;2024-05-15
4;program fault-tolerant;Dollar;20010;2024-05-16;2024-05-16
5;invoice;Cambridgeshire;50009;2024-05-15;2024-05-16
6;Account Borders;copy;11391;2024-05-16;2024-05-15
7;envisioneer;Metal;27252;2024-05-16;2024-05-16
8;Account;Borders turn-key SSL;59547;2024-05-16;2024-05-15
9;bricks-and-clicks microchip;scalable;1512;2024-05-16;2024-05-15
10;back;Bourgogne Unbranded Limousin;91233;2024-05-15;2024-05-16
