id;description;type_operation;pourcentage;date_debut;date_fin
1;virtual;Monitored Programmable de;2917;2024-05-15;2024-05-16
2;Account calculating database;Rustic leading-edge;63520;2024-05-16;2024-05-16
3;Expanded orchid Automotive;Computer des protocol;61034;2024-05-15;2024-05-16
4;a Ergonomic withdrawal;Personal indexing primary;95259;2024-05-15;2024-05-16
5;Account;efficient Administrateur;13943;2024-05-16;2024-05-15
6;Multi-layered;Plastic synthesizing Industrial;27526;2024-05-15;2024-05-16
7;c regional Analyste;Serbie Steel;22795;2024-05-16;2024-05-15
8;intelligence solid Qatar;Multi-channelled Île-de-France;98768;2024-05-16;2024-05-15
9;b back-end;uniform Handcrafted;38507;2024-05-15;2024-05-16
10;b AI;index;85946;2024-05-16;2024-05-16
